response_pre,response_during,response_post,peak_response,peak_lag,frac_significant_negative,frac_significant_positive,recovery_days,regime,direction,lat_index,lon_index,n_events
-0.02855342999502279,-0.09180655911924075,-0.11327288849563324,-0.1605466514019447,29,0.9833333333333333,0.0,,stratified_like,down,0,0,65
-0.021018874761929873,-0.06635790184726904,-0.07929596362195702,-0.13430898833313382,23,0.8,0.0,,stratified_like,down,0,1,57
0.0017793014321224449,-0.07299001795818909,-0.07999083840215925,-0.12729566296449776,41,0.8,0.0,,stratified_like,down,0,2,59
-0.024025250513264033,-0.0973786113414244,-0.12793563211231312,-0.17037443364022345,34,0.95,0.0,,stratified_like,down,0,3,60
-0.0006450874741610318,-0.05149710310207242,-0.05633649764059219,-0.09285247948350461,34,0.6,0.0,69.0,stratified_like,down,0,4,65
0.00034037603474252156,0.0160025680107709,0.026778077352861904,0.06855400414225889,51,0.0,0.18333333333333332,,insensitive_like,none,0,5,52
-0.021836227682450533,-0.08389973169884775,-0.11772438816640762,-0.16814104368104107,41,0.9666666666666667,0.0,68.0,stratified_like,down,1,0,49
0.005974606078154182,-0.04021755572024794,-0.07815250678635823,-0.11972591861633607,34,0.5833333333333334,0.0,70.0,stratified_like,down,1,1,61
-0.02804278775237296,-0.08109256157062364,-0.0894845503581214,-0.1575994783992154,32,0.9833333333333333,0.0,73.0,stratified_like,down,1,2,64
-0.00933354684576077,-0.04300468141096316,-0.054663848289648195,-0.10120578157622753,26,0.5166666666666667,0.0,62.0,stratified_like,down,1,3,61
-0.0198013710438199,-0.08967519710429936,-0.08504252934389005,-0.14558199925039406,23,0.9166666666666666,0.0,,stratified_like,down,1,4,55
0.01544943914519845,0.012392224570858701,-0.00048668974811001513,-0.04673388226346108,42,0.016666666666666666,0.05,43.0,insensitive_like,none,1,5,64
-0.026102623222671307,-0.06713295242162462,-0.09653990928057668,-0.14924498247277,37,0.85,0.0,,stratified_like,down,2,0,57
-0.031007639274745803,-0.06932522829846564,-0.07799263321007396,-0.10302030394666738,46,0.85,0.0,,stratified_like,down,2,1,60
-0.015557446457437818,-0.07187132981359699,-0.11130636785081788,-0.14286711263615784,32,0.8833333333333333,0.0,,stratified_like,down,2,2,72
-0.022101052577685843,-0.06832024192703988,-0.05758182102491282,-0.13293689320703742,24,0.5666666666666667,0.0,47.0,stratified_like,down,2,3,58
-0.03450867823257415,-0.060602872998478004,-0.09239621480196787,-0.13491665332501876,33,0.7833333333333333,0.0,,stratified_like,down,2,4,61
-0.001995299617412897,-0.01671923436928219,-0.009366667733637087,-0.04419848261723229,9,0.05,0.0,12.0,insensitive_like,none,2,5,63
-0.002771450293591406,0.09798681512969158,0.044447092850803546,0.13821881665162933,15,0.0,0.7,44.0,light_limited_like,up,3,0,48
0.023276353846532528,0.10281959559300376,0.02348570313530881,0.1455424647069572,20,0.0,0.6333333333333333,38.0,light_limited_like,up,3,1,69
0.03609020457339582,0.09803587463142073,0.047848056839275274,0.1393161539750321,14,0.0,0.7166666666666667,48.0,light_limited_like,up,3,2,59
0.01838913645419514,0.10323962267436354,0.017400069810903765,0.14933960069744534,13,0.0,0.5333333333333333,32.0,light_limited_like,up,3,3,52
-0.0018884187467543756,0.09408647390269657,0.02344907867049168,0.12847306698364777,13,0.0,0.6166666666666667,39.0,light_limited_like,up,3,4,64
0.016183987530094,0.003954678008227847,0.0062544600736918225,0.06070727744857767,75,0.0,0.0,77.0,insensitive_like,none,3,5,59
0.0071057781885508955,0.09490805201257774,0.03245870316182908,0.13487151880030604,20,0.0,0.65,39.0,light_limited_like,up,4,0,54
0.05778514493161003,0.10606945908133757,0.049234906083927346,0.16267220902174312,19,0.0,0.6,53.0,light_limited_like,up,4,1,54
0.019284718037395784,0.07725855517996001,0.026826738636723878,0.12809566371324974,16,0.0,0.4666666666666667,42.0,light_limited_like,up,4,2,56
0.025408381394271953,0.07768152143026395,0.03101849023506729,0.15023526797015238,17,0.0,0.5166666666666667,48.0,light_limited_like,up,4,3,58
0.0008983863972051603,0.07356732555950543,0.03945599357543381,0.10049597602701316,12,0.0,0.5333333333333333,64.0,light_limited_like,up,4,4,50
-0.04285100750216358,-0.007324385857878513,0.005067277724452508,-0.05106958254586206,14,0.016666666666666666,0.016666666666666666,15.0,insensitive_like,none,4,5,47
0.005430663409439827,0.09403339692377084,0.05356201425639105,0.13451909319980002,12,0.0,0.6666666666666666,70.0,light_limited_like,up,5,0,46
0.020967639701299893,0.10720822312846642,0.043617000194583685,0.15007522589063732,13,0.0,0.6666666666666666,39.0,light_limited_like,up,5,1,62
0.011524713135072041,0.08864275817020213,0.027216253814164346,0.13304656635641926,18,0.0,0.5,46.0,light_limited_like,up,5,2,50
0.013420700719035884,0.08351568050434473,-0.0015918825672980009,0.1281502821616328,17,0.0,0.5166666666666667,33.0,light_limited_like,up,5,3,57
-0.0022805390452690383,0.08457825327023269,0.025138891960855173,0.12233251559261778,13,0.0,0.6166666666666667,48.0,light_limited_like,up,5,4,59
0.009056821819980158,0.0024314021124928645,0.0017344823475630114,-0.052182230252543295,79,0.0,0.05,,insensitive_like,none,5,5,67
